popularityOrder,id,name,filename,scope,categoryId,countryCode,searchQuery,selectionConfidence,selectionScore,unsplashPhotoId,unsplashPhotoSlug,unsplashPhotoUrl,photographerName,photographerUsername,photographerProfileUrl,imageUrl,downloadedAt,failed
1,tokyo,도쿄,tokyo.jpg,international,japan,JP,tokyo Japan,high,138,DGsqL2j028E,tokyo-japan-streets-DGsqL2j028E,https://unsplash.com/photos/tokyo-japan-streets-DGsqL2j028E?utm_source=plin_trip_destinations&utm_medium=referral,Timo Volz,magict1911,https://unsplash.com/@magict1911?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1547448526-5e9d57fa28f7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8MTB8fHRva3lvJTIwamFwYW58ZW58MHx8fHwxNzc2NTI2NTUxfDA&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:39.836Z,false
2,osaka,오사카,osaka.jpg,international,japan,JP,osaka Japan,low,15,WaHPhFveWLk,boat-on-river-between-high-rise-buildings-during-nighttime-WaHPhFveWLk,https://unsplash.com/photos/boat-on-river-between-high-rise-buildings-during-nighttime-WaHPhFveWLk?utm_source=plin_trip_destinations&utm_medium=referral,Juliana Barquero,juliebaa,https://unsplash.com/@juliebaa?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1584505489290-96eb4e406d08?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8M3x8b3Nha2ElMjBqYXBhbnxlbnwwfHx8fDE3NzY2MTgzNDB8MA&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:42.296Z,false
3,fukuoka,후쿠오카,fukuoka.jpg,international,japan,JP,fukuoka Japan,low,21,Si4k9aNcr1c,river-between-high-rise-buildings-during-night-time-Si4k9aNcr1c,https://unsplash.com/photos/river-between-high-rise-buildings-during-night-time-Si4k9aNcr1c?utm_source=plin_trip_destinations&utm_medium=referral,Alexander Schimmeck,alschim,https://unsplash.com/@alschim?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1605088298038-2876387a80c1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8M3x8ZnVrdW9rYSUyMGphcGFufGVufDB8fHx8MTc3NjYxODM0M3ww&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:43.803Z,false
4,sapporo,삿포로,sapporo.jpg,international,japan,JP,sapporo Japan,low,3,dTOWrT0Rkgk,a-store-filled-with-lots-of-different-types-of-goods-dTOWrT0Rkgk,https://unsplash.com/photos/a-store-filled-with-lots-of-different-types-of-goods-dTOWrT0Rkgk?utm_source=plin_trip_destinations&utm_medium=referral,Deric Yu,dericyu,https://unsplash.com/@dericyu?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1687324252224-231972417a40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8N3x8c2FwcG9ybyUyMGphcGFufGVufDB8fHx8MTc3NjYxODM0NHww&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:46.072Z,false
5,okinawa,오키나와,okinawa.jpg,international,japan,JP,okinawa Japan,low,48,RHd0VtC0bLw,a-city-street-lined-with-palm-trees-and-shops-RHd0VtC0bLw,https://unsplash.com/photos/a-city-street-lined-with-palm-trees-and-shops-RHd0VtC0bLw?utm_source=plin_trip_destinations&utm_medium=referral,Roméo A.,gronemo,https://unsplash.com/@gronemo?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1647336963732-7446b9da7a6f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8Mnx8b2tpbmF3YSUyMGphcGFufGVufDB8fHx8MTc3NjYxODM0Nnww&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:47.966Z,false
6,jeju,제주,jeju.jpg,domestic,jeju,KR,jeju South Korea,low,9,xhykWmfmmJ0,a-wooden-walkway-next-to-the-ocean-with-a-wind-turbine-in-the-background-xhykWmfmmJ0,https://unsplash.com/photos/a-wooden-walkway-next-to-the-ocean-with-a-wind-turbine-in-the-background-xhykWmfmmJ0?utm_source=plin_trip_destinations&utm_medium=referral,Fauzan Asyraaf,fauzanasyraaf,https://unsplash.com/@fauzanasyraaf?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1717078409450-cf3d7726b8aa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8MTZ8fGplanUlMjBzb3V0aCUyMGtvcmVhfGVufDB8fHx8MTc3NjYxODM0OHww&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:51.164Z,false
7,kyoto,교토,kyoto.jpg,international,japan,JP,kyoto Japan,low,37,oCZHIa1D4EU,japanese-lantern-over-city-bike-at-nighttime-oCZHIa1D4EU,https://unsplash.com/photos/japanese-lantern-over-city-bike-at-nighttime-oCZHIa1D4EU?utm_source=plin_trip_destinations&utm_medium=referral,Jase Bloor,jasebloor,https://unsplash.com/@jasebloor?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1528360983277-13d401cdc186?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8OHx8a3lvdG8lMjBqYXBhbnxlbnwwfHx8fDE3NzY1Nzc5NDN8MA&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:52.977Z,false
8,busan,부산,busan.jpg,domestic,gyeongsang,KR,busan South Korea,low,9,5tC7mPvXpzI,aerial-photography-of-city-5tC7mPvXpzI,https://unsplash.com/photos/aerial-photography-of-city-5tC7mPvXpzI?utm_source=plin_trip_destinations&utm_medium=referral,David Zhang,crispgm,https://unsplash.com/@crispgm?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1483628529892-5436eb24f89a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8N3x8YnVzYW4lMjBzb3V0aCUyMGtvcmVhfGVufDB8fHx8MTc3NjYwOTI1MXww&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:56.201Z,false
9,yokohama,요코하마,yokohama.jpg,international,japan,JP,yokohama Japan,low,17,gEAry9jfK1w,a-car-driving-down-a-city-street-at-night-gEAry9jfK1w,https://unsplash.com/photos/a-car-driving-down-a-city-street-at-night-gEAry9jfK1w?utm_source=plin_trip_destinations&utm_medium=referral,Kota Kikuchi,boomitskota,https://unsplash.com/@boomitskota?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1718397408868-19da21ff6c1b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8MTJ8fHlva29oYW1hJTIwamFwYW58ZW58MHx8fHwxNzc2NjE4MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:05:58.748Z,false
10,seoul,서울,seoul.jpg,domestic,capital,KR,seoul South Korea,low,21,01hH6y7oZFk,aerial-photography-of-lighted-city-high-rise-buildings-during-dawn-01hH6y7oZFk,https://unsplash.com/photos/aerial-photography-of-lighted-city-high-rise-buildings-during-dawn-01hH6y7oZFk?utm_source=plin_trip_destinations&utm_medium=referral,Mathew Schwartz,cadop,https://unsplash.com/@cadop?utm_source=plin_trip_destinations&utm_medium=referral,https://images.unsplash.com/photo-1506816561089-5cc37b3aa9b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjA3fDB8MXxzZWFyY2h8MTJ8fHNlb3VsJTIwc291dGglMjBrb3JlYXxlbnwwfHx8fDE3NzY2MTgzNTl8MA&ixlib=rb-4.1.0&q=80&w=1080,2026-04-19T17:06:01.047Z,false
